2;16;C;"Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen; vervaardiging van artikelen van riet en van vlechtwerk";"Travail du bois et fabrication d'articles en bois et en li�ge, � l'exception des meubles; fabrication d'articles en vannerie et sparterie";Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne M�bel);"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
2;17;C;Vervaardiging van papier en papierwaren;Industrie du papier et du carton;Herstellung von Papier, Pappe und Waren daraus;Manufacture of paper and paper products
2;18;C;Drukkerijen, reproductie van opgenomen media;Imprimerie et reproduction d'enregistrements;"Herstellung von Druckerzeugnissen; Vervielf�ltigung von bespielten Ton-, Bild- und Datentr�gern";Printing and reproduction of recorded media
2;19;C;Vervaardiging van cokes en van geraffineerde aardolieproducten;Cok�faction et raffinage;Kokerei und Mineral�lverarbeitung;Manufacture of coke and refined petroleum products
2;20;C;Vervaardiging van chemische producten;Industrie chimique;Herstellung von chemischen Erzeugnissen;Manufacture of chemicals and chemical products
2;21;C;Vervaardiging van farmaceutische grondstoffen en producten;Industrie pharmaceutique;Herstellung von pharmazeutischen Erzeugnissen;Manufacture of basic pharmaceutical products and pharmaceutical preparations
2;22;C;Vervaardiging van producten van rubber of kunststof;Fabrication de produits en caoutchouc et en plastique;Herstellung von Gummi- und Kunststoffwaren;Manufacture of rubber and plastic products
2;23;C;Vervaardiging van andere niet-metaalhoudende minerale producten;Fabrication d'autres produits min�raux non m�talliques;Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden;Manufacture of other non-metallic mineral products
2;24;C;Vervaardiging van metalen in primaire vorm;M�tallurgie;Metallerzeugung und -bearbeitung;Manufacture of basic metals
2;25;C;Vervaardiging van producten van metaal, exclusief machines en apparaten;Fabrication de produits m�talliques, � l'exception des machines et des �quipements;Herstellung von Metallerzeugnissen;Manufacture of fabricated metal products, except machinery and equipment
2;26;C;Vervaardiging van informaticaproducten en van elektronische en optische producten;Fabrication de produits informatiques, �lectroniques et optiques;Herstellung von Datenverarbeitungsger�ten, elektronischen und optischen Erzeugnissen;Manufacture of computer, electronic and optical products
2;27;C;Vervaardiging van elektrische apparatuur;Fabrication d'�quipements �lectriques;Herstellung von elektrischen Ausr�stungen;Manufacture of electrical equipment
2;28;C;Vervaardiging van machines, apparaten en werktuigen, n.e.g.;Fabrication de machines et d'�quipements n.c.a.;Maschinenbau;Manufacture of machinery and equipment n.e.c.
2;29;C;Vervaardiging en assemblage van motorvoertuigen, aanhangwagens en opleggers;Construction et assemblage de v�hicules automobiles, de remorques et de semi-remorques;Herstellung von Kraftwagen und Kraftwagenteilen;Manufacture of motor vehicles, trailers and semi-trailers
2;30;C;Vervaardiging van andere transportmiddelen;Fabrication d'autres mat�riels de transport;Sonstiger Fahrzeugbau;Manufacture of other transport equipment
2;31;C;Vervaardiging van meubelen;Fabrication de meubles;Herstellung von M�beln;Manufacture of furniture
2;32;C;Overige industrie;Autres industries manufacturi�res;Herstellung von sonstigen Waren;Other manufacturing
2;33;C;Reparatie en installatie van machines en apparaten;R�paration et installation de machines et d'�quipements;Reparatur und Installation von Maschinen und Ausr�stungen;Repair and installation of machinery and equipment
2;35;D;Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht;Production et distribution d'�lectricit�, de gaz, de vapeur et d'air conditionn�;Energieversorgung;Electricity, gas, steam and air conditioning supply
2;36;E;Winning, behandeling en distributie van water;Captage, traitement et distribution d'eau;Wasserversorgung;Water collection, treatment and supply
2;37;E;Afvalwaterafvoer;Collecte et traitement des eaux us�es;Abwasserentsorgung;Sewerage
2;38;E;"Inzameling, verwerking en verwijdering van afval; terugwinning";"Collecte, traitement et �limination des d�chets; r�cup�ration";"Sammlung, Behandlung und Beseitigung von Abf�llen; R�ckgewinnung";"Waste collection, treatment and disposal activities; materials recovery"
2;39;E;Sanering en ander afvalbeheer;D�pollution et autres services de gestion des d�chets;Beseitigung von Umweltverschmutzungen und sonstige Entsorgung;Remediation activities and other waste management services
2;41;F;"Bouw van gebouwen; ontwikkeling van bouwprojecten";"Construction de b�timents; promotion immobili�re";"Errichtung von Geb�uden ; Entwicklung von Bauprojekten";Construction of buildings
2;42;F;Weg- en waterbouw;G�nie civil;Tiefbau;Civil engineering
2;43;F;Gespecialiseerde bouwwerkzaamheden;Travaux de construction sp�cialis�s;Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe;Specialised construction activities
2;45;G;Groot- en detailhandel in en onderhoud en reparatie van motorvoertuigen en motorfietsen;Commerce de gros et de d�tail et r�paration v�hicules automobiles et de motocycles;"Handel mit Kraftfahrzeugen; Instandhaltung und Reparatur von Kraftfahrzeugen";Wholesale and retail trade and repair of motor vehicles and motorcycles
2;46;G;Groothandel en handelsbemiddeling, met uitzondering van de handel in motorvoertuigen en motorfietsen;Commerce de gros, � l'exception des v�hicules automobiles et des motocycles;Gro�handel (ohne Handel mit Kraftfahrzeugen und Kraftr�dern);Wholesale trade, except of motor vehicles and motorcycles
2;47;G;Detailhandel, met uitzondering van de handel in auto's en motorfietsen;Commerce de d�tail, � l'exception des v�hicules automobiles et des motocycles;Einzelhandel (ohne Handel mit Kraftfahrzeugen);Retail trade, except of motor vehicles and motorcycles
2;49;H;Vervoer te land en vervoer via pijpleidingen;Transports terrestres et transport par conduites;Landverkehr und Transport in Rohrfernleitungen;Land transport and transport via pipelines
2;50;H;Vervoer over water;Transports par eau;Schifffahrt;Water transport
2;51;H;Luchtvaart;Transports a�riens;Luftfahrt;Air transport
2;52;H;Opslag en vervoerondersteunende activiteiten;Entreposage et services auxiliaires des transports;Lagerei sowie Erbringung von sonstigen Dienstleistungen f�r den Verkehr;Warehousing and support activities for transportation
2;53;H;Posterijen en koeriers;Activit�s de poste et de courrier;Post-, Kurier- und Expressdienste;Postal and courier activities
2;55;I;Verschaffen van accommodatie;H�bergement;Beherbergung;Accommodation
2;56;I;Eet- en drinkgelegenheden;Restauration;Gastronomie;Food and beverage service activities
2;58;J;Uitgeverijen;�dition;Verlagswesen;Publishing activities
2;59;J;Productie van films en video- en televisieprogramma's, maken van geluidsopnamen en uitgeverijen van muziekopnamen;"Production de films cin�matographiques, de vid�o et de programmes de t�l�vision; enregistrement sonore et �dition musicale";"Produktion, Verleih und Vertrieb von Filmen und Fernsehprogrammen; Kinos; Tonstudios und Verlegen von Musik";Motion picture, video and television programme production, sound recording and music publishing activities
2;60;J;Programmeren en uitzenden van radio- en televisieprogramma's;Programmation et diffusion de programmes de radio et de t�l�vision;Rundfunkveranstalter;Programming and broadcasting activities
2;61;J;Telecommunicatie;T�l�communications;Telekommunikation;Telecommunications
2;62;J;Ontwerpen en programmeren van computerprogramma's, computerconsultancy-activiteiten en aanverwante activiteiten;Programmation, conseil et autres activit�s informatiques;Erbringung von Dienstleistungen der Informationstechnologie;Computer programming, consultancy and related activities
2;63;J;Dienstverlenende activiteiten op het gebied van informatie;Services d'information;Informationsdienstleistungen;Information service activities
2;64;K;Financi�le dienstverlening, exclusief verzekeringen en pensioenfondsen;Activit�s des services financiers, hors assurance et caisses de retraite;Erbringung von Finanzdienstleistungen;Financial service activities, except insurance and pension funding
2;65;K;Verzekeringen, herverzekeringen en pensioenfondsen, exclusief verplichte sociale verzekeringen;Assurance, r�assurance et caisses de retraite, � l'exclusion des assurances sociales obligatoires;Versicherungen, R�ckversicherungen und Pensionskassen (ohne Sozialversicherung);Insurance, reinsurance and pension funding, except compulsory social security
2;66;K;Ondersteunende activiteiten voor verzekeringen en pensioenfondsen;Activit�s auxiliaires de services financiers et d'assurance;Mit Finanz- und Versicherungsdienstleistungen verbundene T�tigkeiten;Activities auxiliary to financial services and insurance activities
2;68;L;Exploitatie van en handel in onroerend goed;Activit�s immobili�res;Grundst�cks- und Wohnungswesen;Real estate activities
2;69;M;Rechtskundige en boekhoudkundige dienstverlening;Activit�s juridiques et comptables;Rechts- und Steuerberatung, Wirtschaftspr�fung;Legal and accounting activities
